Population 	Bac	ID	Frond_Start	Pix_Start	Peri_Start	Green_Start	Green_Peri_Start	Frond_End	Pix_End	Peri_End	Green_End	Green_Peri_End	Notes	Algae level
Wellspring 	5	1	2	1124	582.515	1052	455.979	1	685	156.26	660	196.136	Covered in algal film	High
Wellspring 	4	2	2	1422	469.725	1333	758.089	2	4515	314.345	3109	337.484	Algal dots	High
Kelso	6	3	2	923	601.815	768	509.115	1	3670	423.191	735	509.507	Green tint	Low
Wellspring 	All	4	1	976	461.04	838	449.626	5	8940	530.228	7203	620.843	Algal dots	High
Kelso	8	5	2	1180	610.283	1002	541.438	2	2120	251.622	1420	523.359	Green tint	Med
Wellspring 	All	6	1	583	499.369	459	517.306	2	1300	150.438	797	189.399	Algal dots	Med
Kelso	All	7	2	808	561.131	685	527.499	1	1888	230.387	1053	322.324	Dead? Algal film	Med
Kelso	1	8	2	1097	569.29	1021	496.784	4	8492	631.148	4376	801.285	Algal film	Med
Wellspring 	4	9	2	971	550.306	805	549.311	1	3243	289.742	2666	260.46	Algal dots	Med
Wellspring 	1	10	1	650	662.061	368	521.677	1	1407	203.958	526	258.179	Algal dots	Low
Kelso	6	11	2	1166	723.502	993	641.755	2	6020	401.009	1999	474.797	Algal film (small)	Low
Kelso	2	12	1	729	427.209	678	523.935	2	2208	412.044	711	446.383	Algal film	Med
Kelso	3	13	1	855	609.43	644	624.101	3	4193	586.131	2622	527.578	Algal film	Med
Kelso	5	14	1	848	455.716	707	517.375	2	3543	405.606	1223	486.228	Algal film	Low
Kelso	All	15	2	1802	635.52	1301	616.221	3	4115	641.937	1938	543.551	Algal film	Low
Kelso	0	16	1	859	547.767	737	516.376	2	2356	444.83	877	527.409	Algal film	Med
Kelso	8	17	1	761	583.587	601	555.812	2	1999	252.859	879	388.014	Algal film	Med
Churchill	7	18	2	3473	621.4	3264	610.801	3	6945	544.519	4179	587.325	Few dots	Low
Wellspring 	5	19	1	542	573.41	450	595.039	2	952	444.48	394	415.15	Dead? Algal film	Low
Churchill	1	20	2	3560	649.299	3433	655.88	4	15400	679.205	8243	763.886	Few dots	Low
Churchill	1	21	1	1941	538.235	1844	645.749	6	18967	800.817	12837	830.985	Few dots	Low
Kelso	0	22	2	2586	697.831	2122	521.635	4	8472	607.61	2986	546.447	Algal film	Med
Wellspring 	6	23	1	1611	592.057	1460	463.919	2	6937	420.968	4967	418.546	Algal dots	High
Churchill	5	24	2	1568	554.549	1455	607.95	6	14372	757.149	10967	965.629	Few dots	Low
Wellspring 	8	25	1	1467	557.434	1276	417.318	2	1999	285.071	1898	303.725	Few dots	Low
Churchill	0	26	2	3503	731.994	3327	689.255	6	13508	852.177	11249	741.228	Few dots	None
Kelso	8	27	2	1079	607.552	948	619.288	2	1242	380.875	888	381.715	Algal film	Low
Wellspring 	8	28	1	680	591.144	549	704.227	2	4162	316.162	2898	339.636	Few dots	Low
Churchill	4	29	2	2482	606.312	2372	589.109	4	6937	627.893	6169	596.942	Few dots	None
Kelso	6	30	2	871	274.552	549	442.386	2	918	252.682	498	451.995	Few dots	None
Churchill	2	31	2	3254	738.698	2932	652.333	6	12717	822.03	11067	907.042	Few dots	None
Churchill	All	32	2	5079	893.553	4675	751.026	8	25513	888.624	24435	973.528	Few dots	None
Churchill	10	33	2	4413	523.799	4035	676.61	4	11977	677.649	11034	670.438	Few dots	None
Kelso	0	34	2	5691	787.661	4677	698.792	5	9951	928.643	7309	1082.014	Film	Low
Wellspring 	2	35	2	1105	550.417	903	688.243	3	2505	397.884	1966	360.7	Few dots	Low
Kelso	4	36	2	4022	680.437	3800	723.519	4	11327	764.26	9869	797.986	Film	Low
Kelso	1	37	2	5251	656.192	4421	751.163	5	11305	775.262	9373	762.467	Film	Low
Kelso	2	38	2	1160	661.601	503	572.26	2	3517	729.717	2051	662.894	Film	Low
Churchill	7	39	2	3045	720.22	2718	789.695	4	9686	757.179	8292	836.646	Few dots	None
Wellspring 	5	40	2	1789	653.348	1638	635.014	3	5777	466.575	5047	556.955	Few dots	Low
Kelso	9	41	2	1868	513.538	1690	663.256	3	5063	562.596	3274	677.775	Film	Low
Churchill	6	42	2	1924	666.718	1730	677.698	4	8316	665.063	7360	711.401	Few dots	None
Churchill	All	43	2	1653	530.021	1450	598.343	4	7575	677.984	6414	846.949	Few dots	None
Kelso	4	44	2	2947	701.636	2666	617.43	4	8543	874.635	7372	741.933	Film	Med
Churchill	10	45	2	3917	599.67	3740	686.388	6	14117	844.395	11992	956.104	Few dots	Low
Churchill	5	46	2	1665	718.027	1402	595.567	3	6181	689.435	5280	668.664	Few dots	Low
Kelso	All	47	2	5635	657.605	5166	817.494	2	6571	557.433	4351	519.812	Film	Med
Wellspring 	8	48	2	1909	796.239	1430	695.025	2	4103	330.403	2268	323.408	Dots	Med
Wellspring 	10	49	1	1241	569.686	1056	569.876	5	15026	680.821	11725	601.733	Dots	Med
Wellspring 	1	50	1	854	581.477	758	622.176	4	6168	380.219	5256	442.447	Dots	Med
Churchill	All	51	2	2864	516.669	2717	597.536	5	15279	714.35	14393	765.761	Few dots	None
Wellspring 	8	52	2	1346	560.602	1014	480.273	3	3138	340.331	2060	425.163	Dots	Low
Kelso	9	53	2	5068	741.924	4231	704.707	4	10055	561.075	10018	619.303	Film	Med
Churchill	4	54	1	1830	748.775	1674	541.887	4	5684	706.973	4596	736.592	Few dots	Low
Wellspring 	4	55	1	902	536.696	762	600.137	2	1074	275.796	463	256.007	Few dots	Low
Kelso	0	56	2	8564	739.765	8214	719.736	5	15405	805.45	11896	952.237	Film	Low
Wellspring 	All	57	1	955	566.2	746	614.2	3	2575	282.499	1545	218.804	Dots	Med
Churchill	9	58	2	2229	584.344	1896	635.06	4	7854	793.025	6719	697.533	Few dots	None
Kelso	8	59	2	10071	686.239	9297	646.343	3	10945	561.584	5004	565.012	Film	Low
Churchill	3	60	2	1657	593.272	1562	724.335	4	8854	594.65	8532	757.724	Few dots	None
Wellspring 	2	61	1	951	637.437	756	620.512	2	2977	299.438	2363	284.847	Dots	Low
Wellspring 	9	62	1	834	642.994	682	562.027	2	2110	338.861	1632	333.79	Dots	Low
Churchill	4	63	2	5095	707.015	4844	665.942	5	15700	938.342	14369	985.537	Few dots	None
Kelso	7	64	2	1240	464.35	1094	596.258	3	5129	500.466	4248	508.713	Film	Low
Churchill	9	65	2	3348	642.067	3175	600.387	6	17493	844.417	16635	876.691	Few dots	None
Wellspring 	1	66	1	1069	624.819	884	572.018	4	6765	589.445	3970	539.576	Film	Med
Churchill	2	67	2	1726	627.575	1536	679.676	4	6565	688.106	5834	680.094	Few dots	None
Kelso	All	68	2	7512	817.821	7053	663.355	2	10370	518.178	6769	622.762	Film	Med
Churchill	4	69	2	2708	659.965	2351	540.183	6	17989	787.615	16698	835.755	Few dots	None
Kelso	0	70	2	7685	657.558	7244	637.958	4	20084	727.687	16791	758.963	Film	Med
Kelso	3	71	2	2701	620.07	2431	548.47	3	5688	610.122	4637	703.396	Film	Low
Wellspring 	2	72	2	1496	461.757	1342	649.371	2	2648	248.025	2329	253.762	Dots	Med
Churchill	7	73	2	2686	723.254	2509	657.822	6	15924	776.059	12644	815.156	Few dots	None
Wellspring 	6	74	2	1033	615.756	923	609.097	3	3564	384.453	2784	409.67	Dots	Low
Churchill	10	75	3	2963	709.948	2614	608.735	6	16222	825.925	14477	861.446	Nothing	None
Kelso	1	76	4	6238	718.276	5929	733.204	14	64107	1350.182	57921	1350.971	Nothing	None
Wellspring 	7	77	2	1760	619.495	1582	822.312	1	2009	441.31	751	408.716	Film	Med
Churchill	8	78	2	1982	544.503	1774	687.027	4	7897	586.275	7460	544.667	Few dots	None
Kelso	1	79	2	1335	390.97	1171	632.057	5	11840	794.496	9858	761.652	Few dots	None
Wellspring 	8	80	2	1161	618.48	992	520.759	3	3348	302.176	2778	388.554	Dots	Low
Kelso	6	81	2	6162	788.644	5918	774.332	2	7023	532.318	4206	483.641	Nothing	None
Churchill	5	82	1	755	473.234	647	560.705	3	6066	610.532	5347	652.906	Few dots	None
Kelso	7	83	2	5256	698.987	4728	838.087	5	10021	854.359	5728	866.343	Nothing	None
Churchill	7	84	2	4043	568.38	3820	725.376	5	15330	711.566	14300	754.174	Few dots	None
Wellspring 	3	85	1	894	676.584	719	638.091	3	4253	401.193	3862	417.983	Dots	Low
Kelso	All	86	4	8103	920.182	6960	899.053	4	14028	845.356	11864	959.237	Nothing	None
Wellspring 	All	87	1	718	597.812	436	624.538	0					Dots	Low
Wellspring 	6	88	2	1171	569.393	1047	640.415	1	2597	267.014	1862	267.014	Dots	Med
Churchill	All	89	2	2170	712.477	2058	616.902	5	8807	688.616	8162	688.616	Few dots	None
Churchill	3	90	2	4321	958.599	3964	697.25	7	14401	857.527	11423	857.527	Few dots	None
Wellspring 	3	91	2	2199	747.666	1997	722.407	3	6372	551.703	6140	394.192	Dots	Low
Wellspring 	1	92	2	2050	504.109	1857	599.377	2	7673	455.814	7645	482.91	Dots	Low
Churchill	9	93	2	1760	522.858	1692	604.209	6	10666	653.993	10101	639.039	Few dots	None
Kelso	8	94	2	2835	621.707	2307	620.25	2	3186	394.156	2011	399.404	Nothing	None
Kelso	9	95	2	5024	670.1	4609	673.396	10	29087	1241.57	25958	1248.306	Nothing	None
Kelso	9	96	2	4949	774.935	4721	670.918	8	28760	1102.883	26304	1102.883	Nothing	None
Wellspring 	2	97	2	1423	485.757	1080	563.81	3	3945	358.91	2220	358.91	Dots	Med
Churchill	10	98	2	1244	516.254	1161	545.626	4	8587	743.438	7759	695.781	Nothing	None
Churchill	0	99	2	1494	472.518	1387	518.062	4	12499	711.372	11766	700.54	Few dots	None
Kelso	All	100	2	3617	574.225	3455	590.531	2	4120	515.978	3514	529.873	Nothing	None
Kelso	2	101	2	5238	563.857	5084	600.955	11	50672	1291.082	45737	1311.84	Nothing	None
Wellspring 	2	102	2	1479	371.643	1260	460.914	2	3435	235.673	2395	235.673	Dots	Med
Wellspring 	All	103	2	1324	490.617	1178	677.837	3	4581	367.606	4359	528.433	Dots	Low
Wellspring 	0	104	2	1901	611.236	1812	573.846	2	5489	428.722	4608	408.532	Film	Med
Churchill	3	105	2	1364	516.186	1182	523.106	6	14600	718.374	14160	667.802	Few dots	None
Churchill	6	106	2	2342	604.348	1850	605.249	6	17656	796.56	16230	752.265	Few dots	None
Wellspring 	9	107	2	1326	459.838	1142	635.889	3	3996	468.046	2565	433.591	Film	Med
Kelso	3	108	2	1527	510.179	1364	706.34	4	6466	426.063	5677	519.612	Nothing	None
Churchill	All	109	2	2170	704.986	2047	683.62	5	12621	785.966	11428	897.686	Few dots	None
Churchill	1	110	2	2105	663.852	1728	524.762	5	6825	614.477	5485	666.557	Few dots	None
Kelso	4	111	2	1837	446.096	1630	648.162	6	15499	879.333	11383	840.706	Nothing	None
Wellspring 	1	112	2	1861	567.236	1655	578.025	4	6068	557.52	2204	537.772	Film	Med
Churchill	2	113	2	1857	531.549	1776	642.607	8	17670	716.137	16732	779.837	Few dots	None
Churchill	2	114	2	1173	439.225	1097	576.33	4	6558	656.342	5275	717.574	Few dots	None
Wellspring 	7	115	2	1708	584.654	1405	587.937	4	8945	565.794	6163	433.085	Dots	Low
Churchill	9	116	2	1875	592.046	1710	519.542	5	8105	680.249	7537	774.424	Few dots	None
Kelso	6	117	2	2519	542.766	2381	502.553	0					Empty	None
Kelso	0	118	2	2623	532.323	2441	526.93	9	37054	1063.67	21135	1220.326	Nothing	None
Wellspring 	10	119	2	1725	576.251	1604	521.465	4	7874	449.342	7245	403.141	Dots	Med
Kelso	10	120	3	2839	751.644	2607	557.112	7	23028	1183.523	33402	1097.121	Nothing	None
Churchill	3	121	2	1470	592.212	1262	419.028	5	18276	761.293	16570	778.936	Few dots	None
Churchill	1	122	2	865	406.933	784	583.919	3	3605	390.302	2847	440.48	Few dots	None
Wellspring 	1	123	1	912	404.799	741	562.332	2	3363	284.836	3605	379.607	Dots	Med
Wellspring 	All	124	2	1593	492.628	1145	626.888	4	5587	741.64	4662	750.496	Nothing	None
Wellspring 	0	125	2	2018	548.858	1824	441.642	4	9137	546.347	8585	578.208	Dots	Med
Churchill	9	126	2	1349	508.218	1026	546.245	3	8205	718.852	6440	602.395	Nothing	None
Kelso	7	127	2	1415	460.851	1282	515.946	4	5026	680.355	4085	551.229	Nothing	None
Churchill	3	128	2	1526	483.252	1091	550.046	5	11175	691.005	9749	610.015	Few dots	None
Kelso	2	129	1	912	479.155	663	409.517	2	4847	532.289	2922	612.505	Film	Med
Wellspring 	8	130	1	921	489.244	771	641.938	2	2264	334.344	1749	386.453	Dots	Low
Churchill	10	131	2	2182	497.074	2039	552.628	5	11430	645.403	10314	682.43	Few dots	None
Wellspring 	5	132	1	1096	542.617	945	461.393	0					Empty	Low
Churchill	5	133	1	983	498.613	840	563.826	5	7157	685.519	6197	692.181	Nothing	None
Churchill	8	134	1	1015	566.39	694	514.61	3	4230	515.712	3278	461.383	Few dots	None
Churchill	5	135	2	1111	643.026	959	575.685	2	4280	450.585	2814	445.108	Few dots	None
Churchill	All	136	2	1249	546.648	1044	550.975	5	7645	833.237	5983	830.396	Few dots	None
Churchill	7	137	1	911	451.796	650	549.629	2	2492	408.221	1940	379.888	Few dots	None
Kelso	7	138	2	737	577.553	579	638.289	2	3259	296.758	1630	638.861	Film	Low
Kelso	2	139	2	1030	485.991	827	628.442	4	5585	603.058	3987	746.894	Film	Low
Kelso	5	140	1	656	462.084	543	557.669	4	6910	696.384	5868	720.869	Film	Low
Wellspring 	9	141	2	1394	507.28	1317	610.875	3	7270	412.437	4509	336.775	film	Med
Wellspring 	2	142	1	1193	516.12	1030	572.744	3	7909	392.286	8525	500.015	Dots	Med
Kelso	8	143	1	980	585.387	794	496.378	2	3268	302.529	3638	440.137	Film	Low
Wellspring 	5	144	2	1106	458.035	899	537.75	3	6110	433.414	4842	422.575	Heavy dots	Med
Churchill	0	145	2	1214	553.491	1018	480.518	4	5945	484.562	5289	451.611	Few dots	None
Wellspring 	7	146	2	5721	678.091	5562	666.513	4	12289	637.502	10420	680.452	Dots	Med
Wellspring 	0	147	2	2441	664.127	2322	572.822	3	5728	472.289	5266	579.065	Dots	Low
Wellspring 	9	148	2	2948	728.793	2821	600.914	3	6024	421.276	4842	502.409	Dots	Low
Kelso	7	149	2	769	488.486	667	570.115	2	1509	378.52	721	652.605	Nothing	None
Wellspring 	8	150	2	1482	528.283	1335	573.64	2	2953	309.816	2581	348.783	Few dots	Low
Churchill	1	151	2	876	570.119	732	509.969	3	6368	666.788	5835	574.782	Few dots	None
Kelso	7	152	2	641	568.915	517	530.849	2	554	574.75	181	528.769	Nothing	None
Wellspring 	6	153	2	3975	664.646	3670	735.04	3	4728	358.635	3602	457.014	Dots	Low
Wellspring 	2	154	2	1740	601.679	1495	558.514	2	2605	278.493	1883	332.22	Dots	Low
Kelso	6	155	1	741	598.451	586	570.19	2	1292	503.542	736	557.427	Nothing	None
Kelso	9	156	2	873	302.536	773	381.993	2	953	263.528	637	286	Nothing	None
Wellspring 	7	157	2	6839	745.343	6634	739.288	5	13730	602.115	12160	611.406	Dots	Low
Churchill	1	158	2	1197	543.901	931	554.683	3	7696	612.888	6606	758.52	Few dots	None
Kelso	10	159	2	534	580.145	387	601.812	2	3717	402.599	5070	356.117	Nothing	None
Wellspring 	9	160	2	5956	729.703	5467	610.846	4	12166	679.469	10475	700.851	Dots	Low
Churchill	9	161	1	1147	620.084	986	652.332	6	11048	717.366	8321	689.629	Few dots	None
Churchill	3	162	1	872	530.593	679	695.734	4	8051	698.526	6516	657.218	Few dots	None
Wellspring 	9	163	2	1473	684.486	1187	614.265	2	3068	272.675	3502	438.568	Dots	Low
Churchill	6	164	1	1046	476.06	940	648.276	6	11204	759.149	9777	681.204	Few dots	None
