# Constructed from biom file
#OTU ID	Church.F.28	Well.F.92
MJ031-2-barcode67-umi30463bins-ubs-16	1.0	45.0
MJ031-1-barcode30-umi34495bins-ubs-5	0.0	28.0
MJ032-1-barcode26-umi28394bins-ubs-14	11.0	0.0
MJ031-1-barcode27-umi39688bins-ubs-3	12.0	0.0
MJ030-2-barcode58-umi100468bins-ubs-4	7.0	14.0
KC690144	0.0	40.0
MJ030-1-barcode42-umi118053bins-ubs-3	22.0	0.0
MJ030-2-barcode59-umi69854bins-ubs-8	15.0	0.0
RS-GCF-009372195.1-NZ-CP045226.1	15.0	0.0
MJ030-2-barcode59-umi54080bins-ubs-11	3.0	19.0
RS-GCF-006547065.1-NZ-CP041243.1	0.0	14.0
MJ030-2-barcode58-umi53282bins-ubs-13	6.0	75.0
MJ030-2-barcode58-umi113852bins-ubs-3	0.0	12.0
KJ647399	20.0	6.0
MJ030-2-barcode58-umi32177bins-ubs-21	55.0	45.0
MJ030-2-barcode58-umi60761bins-ubs-10	15.0	13.0
MJ031-1-barcode30-umi16295bins-ubs-28	11.0	0.0
MJ030-2-barcode59-umi59885bins-ubs-10	2.0	17.0
AJ879783	0.0	16.0
MK693145	10.0	0.0
G902826025	26.0	86.0
AJ247194	9.0	67.0
MJ030-2-barcode58-umi75598bins-ubs-7	21.0	9.0
MJ030-1-barcode42-umi68624bins-ubs-6	134.0	0.0
GB-GCA-013823625.1-PNMM01000001.1	61.0	0.0
GB-GCA-016713335.1-JADJPH010000037.1	0.0	17.0
AM232810	0.0	13.0
G007753455	66.0	78.0
MJ010-1-barcode44-umi26041bins-ubs-26	0.0	29.0
MJ032-1-barcode26-umi60254bins-ubs-4	189.0	0.0
MJ030-2-barcode59-umi75947bins-ubs-7	8.0	66.0
MJ030-2-barcode58-umi58429bins-ubs-11	16.0	6.0
KJ095109	217.0	54.0
MJ030-2-barcode58-umi92364bins-ubs-4	14.0	0.0
RS-GCF-005222805.1-NZ-STGC01000003.1	5.0	14.0
G002198675	86.0	183.0
MJ030-2-barcode59-umi58193bins-ubs-16	8.0	73.0
GB-GCA-900465755.1-UBJZ01000036.1	6.0	11.0
HG008904	42.0	184.0
MJ030-2-barcode58-umi85685bins-ubs-5	148.0	0.0
G004145215	0.0	16.0
KY117472	15.0	10.0
KY363638	26.0	31.0
MF543060	52.0	5.0
G002280885	341.0	209.0
GU295972	16.0	0.0
MJ030-2-barcode58-umi39254bins-ubs-18	76.0	54.0
MJ030-2-barcode58-umi100027bins-ubs-4	23.0	21.0
MJ030-1-barcode25-umi17163bins-ubs-27	0.0	134.0
MJ032-1-barcode26-umi33221bins-ubs-11	0.0	14.0
MJ033-1-barcode37-umi14284bins-ubs-19	201.0	0.0
G000160775	2.0	23.0
MJ030-2-barcode59-umi58934bins-ubs-10	9.0	45.0
HF544321	5.0	50.0
MJ030-2-barcode58-umi74434bins-ubs-9	0.0	45.0
MJ020-2-barcode52-umi2252bins-ubs-219	52.0	63.0
AB033327	0.0	80.0
MJ030-2-barcode59-umi24098bins-ubs-26	11.0	8.0
MJ031-1-barcode27-umi33340bins-ubs-9	28.0	46.0
JN104393	69.0	3.0
RS-GCF-017813355.1-NZ-JAGIYZ010000050.1	55.0	0.0
MJ031-1-barcode27-umi34972bins-ubs-5	29.0	0.0
RS-GCF-006443685.1-NZ-VFYP01000012.1	48.0	25.0
AJ227784	18.0	0.0
MJ030-2-barcode58-umi82375bins-ubs-6	41.0	0.0
MJ030-2-barcode59-umi50732bins-ubs-13	18.0	13.0
MH032761	35.0	0.0
MJ030-2-barcode59-umi68809bins-ubs-8	29.0	0.0
MJ030-2-barcode58-umi75999bins-ubs-7	5.0	5.0
MH633716	81.0	0.0
GB-GCA-016712445.1-JADJRB010000001.1	26.0	37.0
MJ030-2-barcode58-umi119635bins-ubs-3	16.0	0.0
MJ034-1-barcode26-umi27120bins-ubs-4	56.0	0.0
MJ010-1-barcode25-umi117011bins-ubs-5	12.0	0.0
RS-GCF-902706245.1-NZ-CACSJU010000091.1	5.0	24.0
MJ010-1-barcode33-umi521bins-ubs-233	40.0	0.0
MJ030-2-barcode58-umi55135bins-ubs-11	13.0	23.0
GB-GCA-016714895.1-JADKBV010000007.1	0.0	10.0
RS-GCF-012583295.1-NZ-VIRO01000139.1	31.0	18.0
MJ034-2-barcode65-umi5868bins-ubs-43	12.0	11.0
RS-GCF-001426825.1-NZ-LMFM01000005.1	9.0	23.0
MJ010-2-barcode71-umi45255bins-ubs-12	0.0	34.0
KF056993	0.0	30.0
MJ031-1-barcode42-umi38679bins-ubs-3	0.0	10.0
MJ030-2-barcode59-umi106076bins-ubs-3	0.0	18.0
KC222641	57.0	4.0
MJ034-1-barcode37-umi20902bins-ubs-10	19.0	24.0
KX456191	18.0	0.0
AB899817	0.0	17.0
