"","domain","phylum","class","order","family","genus","species","Confidence"
"MJ030-2-barcode58-umi85685bins-ubs-5","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," Luteolibacter_776538"," "," 1"
"KF551166","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_501059"," Rhizobiaceae_A_501059"," Pararhizobium"," Rhizobium gei"," 1"
"JQ608324","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingomonas_L_486704"," Sphingomonas_L_486704 spermidinifaciens"," 1"
"EF532793","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Hydrogenophaga_590407"," Hydrogenophaga bisanensis"," 1"
"AB297501","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Acetobacterales"," Acetobacteraceae"," Roseomonas_A_507058"," Roseomonas_A_507058 tokyonensis"," 1"
"MJ030-2-barcode58-umi58429bins-ubs-11","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504721"," Hyphomicrobiaceae"," Hyphomicrobium_A"," Hyphomicrobium_A sulfonivorans"," 1"
"MJ031-1-barcode27-umi29498bins-ubs-9","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"MJ031-1-barcode27-umi22325bins-ubs-17","Bacteria"," Acidobacteriota"," Blastocatellia"," Pyrinomonadales"," Pyrinomonadaceae_426821"," OLB17_426821"," OLB17 sp001567505"," 1"
"KJ528316","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Blastomonas"," Blastomonas aquatica"," 1"
"MJ030-2-barcode59-umi10920bins-ubs-46","Bacteria"," Bacteroidota"," Bacteroidia"," Cytophagales"," Spirosomaceae"," Runella"," Runella palustris"," 1"
"MJ030-2-barcode59-umi41742bins-ubs-16","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Saprospiraceae"," GYS-P2D"," "," 1"
"HG008904","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingorhabdus_B_483718"," Sphingorhabdus_B_483718 contaminans"," 1"
"MJ032-1-barcode26-umi59448bins-ubs-4","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae_966727"," Ferruginibacter"," "," 1"
"G000284295","Bacteria"," Actinobacteriota"," Actinomycetia"," Mycobacteriales"," Micromonosporaceae"," Actinoplanes"," Actinoplanes missouriensis"," 1"
"MJ030-2-barcode58-umi109213bins-ubs-3","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Verrucomicrobiaceae"," Prosthecobacter"," "," 1"
"MJ030-2-barcode58-umi60761bins-ubs-10","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Piscinibacter"," "," 1"
"MJ030-2-barcode59-umi54080bins-ubs-11","Bacteria"," Acidobacteriota"," Acidobacteriae"," Bryobacterales"," Bryobacteraceae"," KBS-96"," "," 1"
"HQ111526","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Gemmobacter_C"," Gemmobacter_C tilapiae"," 1"
"MJ030-2-barcode58-umi74434bins-ubs-9","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Piscinibacter"," Piscinibacter aquaticus"," 1"
"RS-GCF-009372195.1-NZ-CP045226.1","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Nostocaceae_28012"," Nostoc_B_27156"," "," 1"
"MJ030-2-barcode59-umi58193bins-ubs-16","Bacteria"," Patescibacteria"," Saccharimonadia"," Saccharimonadales"," SZUA-47"," SZUA-47"," SZUA-47 sp003231925"," 1"
"MJ020-2-barcode70-umi56403bins-ubs-6","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"MJ034-1-barcode37-umi930bins-ubs-398","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"MJ030-2-barcode58-umi19344bins-ubs-33","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae_966727"," Sediminibacterium"," "," 1"
"MJ030-1-barcode25-umi118521bins-ubs-3","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Ideonella_A_591966"," "," 1"
