label,domain,phylum,class,order,family,genus,species
MJ030-2-barcode58-umi85685bins-ubs-5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776538,
KF551166,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501059,Rhizobiaceae_A_501059,Pararhizobium,Rhizobium gei
JQ608324,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_L_486704,Sphingomonas_L_486704 spermidinifaciens
EF532793,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Hydrogenophaga_590407,Hydrogenophaga bisanensis
AB297501,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas_A_507058,Roseomonas_A_507058 tokyonensis
MJ030-2-barcode58-umi58429bins-ubs-11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504721,Hyphomicrobiaceae,Hyphomicrobium_A,Hyphomicrobium_A sulfonivorans
MJ031-1-barcode27-umi29498bins-ubs-9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
MJ031-1-barcode27-umi22325bins-ubs-17,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae_426821,OLB17_426821,OLB17 sp001567505
KJ528316,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Blastomonas aquatica
MJ030-2-barcode59-umi10920bins-ubs-46,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,Runella palustris
MJ030-2-barcode59-umi41742bins-ubs-16,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,GYS-P2D,
HG008904,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus_B_483718,Sphingorhabdus_B_483718 contaminans
MJ032-1-barcode26-umi59448bins-ubs-4,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Ferruginibacter,
G000284295,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes missouriensis
MJ030-2-barcode58-umi109213bins-ubs-3,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,
MJ030-2-barcode58-umi60761bins-ubs-10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Piscinibacter,
MJ030-2-barcode59-umi54080bins-ubs-11,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,KBS-96,
HQ111526,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter_C,Gemmobacter_C tilapiae
MJ030-2-barcode58-umi74434bins-ubs-9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Piscinibacter,Piscinibacter aquaticus
RS-GCF-009372195.1-NZ-CP045226.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Nostoc_B_27156,
MJ030-2-barcode59-umi58193bins-ubs-16,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,SZUA-47,SZUA-47,SZUA-47 sp003231925
MJ020-2-barcode70-umi56403bins-ubs-6,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MJ034-1-barcode37-umi930bins-ubs-398,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
MJ030-2-barcode58-umi19344bins-ubs-33,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Sediminibacterium,
MJ030-1-barcode25-umi118521bins-ubs-3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Ideonella_A_591966,
MJ030-2-barcode59-umi28123bins-ubs-25,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,,
G003194085,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,Aurantimicrobium sp003194085
MJ030-1-barcode25-umi17163bins-ubs-27,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,
MJ010-2-barcode71-umi92001bins-ubs-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
MJ030-2-barcode58-umi44348bins-ubs-17,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Hydrogenophaga_590395,Hydrogenophaga atypica
MJ032-2-barcode72-umi80128bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cypionkella,
RS-GCF-006547065.1-NZ-CP041243.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas lenta
KR052095,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandaracinobacter,Sandaracinobacter neustonicus
AB899817,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
MJ030-1-barcode25-umi18764bins-ubs-25,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
MJ034-1-barcode37-umi19267bins-ubs-11,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,VFKE01,VFKE01 sp009885695
MJ030-2-barcode59-umi110411bins-ubs-3,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,
MJ030-2-barcode58-umi100253bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,
RS-GCF-009711935.1-NZ-VIKX01000317.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Dolichospermum,Dolichospermum sp001277295
RS-GCF-019083995.1-NZ-JAHRCU010000048.1,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,Roseococcus flocculans
GB-GCA-016716535.1-JADJWD010000007.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,,
G003669285,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Fuerstia,
AJ227784,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides
G000734895,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_26365,Calothrix,Calothrix sp000734895
HM590831,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,Lacihabitans soyangensis
RS-GCF-900103325.1-NZ-FMXM01000107.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501396,Rhizobiaceae_A_499470,Mesorhizobium_F_498388,Mesorhizobium_F_498388 qingshengii
MJ030-2-barcode58-umi39254bins-ubs-18,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Haloferula_776278,Haloferula sp000739615
G004145215,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,2011-GWC2-44-17,2011-GWC2-44-17 sp004145215
MJ030-2-barcode58-umi75730bins-ubs-7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,VFKE01,VFKE01 sp009885695
MJ030-2-barcode50-umi43457bins-ubs-15,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Rhizobacter_590950,Rhizobacter sp001425825
MJ031-1-barcode42-umi31577bins-ubs-7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Methylophilaceae,Methylotenera_A_557637,Methylotenera_A_557637 versatilis
G000695095,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica
RS-GCF-015904235.1-NZ-JADZLT010000042.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501582,Pleomorphomonadaceae,,
RS-GCF-902706245.1-NZ-CACSJU010000091.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium_485351,Novosphingobium resinovorum
KX263320,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter_487784,Caulobacter hibisci
MJ032-1-barcode26-umi38346bins-ubs-10,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Aulosira,Aulosira diplosiphon
MJ032-1-barcode26-umi33221bins-ubs-11,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales_650612,Cellvibrionaceae,Cellvibrio,
AJ227783,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas variabilis
RS-GCF-001426825.1-NZ-LMFM01000005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus_483366,
MJ030-2-barcode59-umi108848bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_494022,
MJ030-2-barcode59-umi39800bins-ubs-18,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,,
MJ031-1-barcode27-umi34972bins-ubs-5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776537,Luteolibacter ambystomatis
MJ030-2-barcode58-umi76956bins-ubs-7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Methylophilaceae,Methylophilus,Methylophilus sp000525025
RS-GCF-001556635.1-NZ-LSJF01000595.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_L_486704,Sphingomonas_L_486704 suaedae
MJ034-1-barcode25-umi17353bins-ubs-17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_502138,Devosiaceae,Devosia_A_501803,Devosia_A_501803 humi
MJ030-2-barcode58-umi7381bins-ubs-53,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MK285603,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_493988,Tabrizicola piscis
MJ007-2-barcode68-umi1820bins-ubs-263,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,,,
MJ034-1-barcode37-umi20902bins-ubs-10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504721,Hyphomicrobiaceae,,
MJ034-2-barcode65-umi5868bins-ubs-43,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae_431435,QQUY01,
MJ030-2-barcode58-umi79910bins-ubs-6,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,,
MJ031-1-barcode27-umi34715bins-ubs-5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
GB-GCA-018006385.1-JAGMYM010000089.1,Bacteria,Actinobacteriota,Acidimicrobiia_401430,Acidimicrobiales,Ilumatobacteraceae,,
GU295972,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Flavobacteriaceae,Flavobacterium,Flavobacterium cheonhonense
MJ030-2-barcode58-umi113852bins-ubs-3,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,
MJ010-2-barcode71-umi148685bins-ubs-3,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
G000333615,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Ideonella_A_591966,Ideonella_A_591966 sp000333615
MJ030-2-barcode59-umi75947bins-ubs-7,Bacteria,Acidobacteriota,Blastocatellia,UBA7656,UBA7656,QHVH01,QHVH01 sp003222245
MJ030-1-barcode25-umi46256bins-ubs-11,Bacteria,Bdellovibrionota_E,Bdellovibrionia_A_473294,Bdellovibrionales,SG-bin7,SG-bin7,SG-bin7 sp002083485
MJ030-2-barcode65-umi36164bins-ubs-20,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Ideonella_A_591966,
MJ030-2-barcode58-umi32177bins-ubs-21,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776538,
MJ031-1-barcode27-umi37887bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cypionkella,
MJ032-1-barcode26-umi28394bins-ubs-14,Bacteria,Bdellovibrionota_E,Bdellovibrionia_A_473294,Bdellovibrionales,SG-bin7,SG-bin7,SG-bin7 sp002083485
MJ030-2-barcode59-umi59885bins-ubs-10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501396,Rhizobiaceae_A_499470,Aquamicrobium_A_498489,
LC153750,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501582,Pleomorphomonadaceae,Oharaeibacter,Oharaeibacter diazotrophicus
MJ030-2-barcode59-umi69854bins-ubs-8,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,VFJQ01,VFJQ01 sp009885995
MJ030-2-barcode58-umi113995bins-ubs-3,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Sulfotelmatobacter,Sulfotelmatobacter sp003166855
MH032761,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Phreatobacteraceae,Phreatobacter,Phreatobacter cathodiphilus
MJ030-2-barcode58-umi100468bins-ubs-4,Bacteria,Cyanobacteria,Cyanobacteriia,CACIAM-69d,CACIAM-69d,CACIAM-69d,CACIAM-69d sp001698445
MJ030-1-barcode42-umi68624bins-ubs-6,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,VFKE01,VFKE01 sp009885695
RS-GCF-014696565.1-NZ-JACJQK010000116.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,Aulosira,Aulosira diplosiphon
MJ020-2-barcode52-umi2252bins-ubs-219,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Blastocatellaceae_430966,Aridibacter,Aridibacter famidurans
MJ030-2-barcode59-umi39172bins-ubs-20,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Terrimonas_941540,
KY117472,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas humi
MJ030-2-barcode59-umi28442bins-ubs-23,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_966727,Ferruginibacter,
HE573746,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales_616009,Xanthomonadaceae_616009,Silanimonas_613114,Silanimonas mangrovi
MJ020-2-barcode70-umi18336bins-ubs-31,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MJ031-1-barcode42-umi38679bins-ubs-3,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,,
MJ030-2-barcode59-umi53923bins-ubs-12,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fluviimonas,
GB-GCA-016714895.1-JADKBV010000007.1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
KX390668,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Piscinibacter,Piscinibacter caeni
MJ030-2-barcode59-umi102222bins-ubs-5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Rubrivivax,
MJ032-1-barcode26-umi57439bins-ubs-5,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_26365,Calothrix,Calothrix sp000331305
MJ031-1-barcode30-umi4885bins-ubs-90,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
AB369258,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas_A_507058,Roseomonas_A_507058 stagni
GB-GCA-013823625.1-PNMM01000001.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,,
MJ030-2-barcode59-umi99622bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Asprobacter,
AJ247194,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus
FR714843,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus_C_375137,Rhodococcus_C_375137 trifolii
RS-GCF-015169395.1-NZ-CP063458.1--2,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,
MJ030-2-barcode58-umi65211bins-ubs-9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Ideonella_A_591966,
KM978076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cypionkella,Cypionkella collinsensis
MJ030-2-barcode59-umi58934bins-ubs-10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504721,Hyphomicrobiaceae,,
G000160775,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium marinum
AM232810,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Weeksellaceae,Chryseobacterium_796614,Chryseobacterium gambrini
KJ721000,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Beijerinckiaceae,Bosea,Bosea vaviloviae_B_503600
MJ010-2-barcode71-umi45255bins-ubs-12,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MJ030-2-barcode58-umi105534bins-ubs-3,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,
EU857676,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubribacterium,Rubribacterium polymorphum
RS-GCF-019039055.1-NZ-JAHOPB010000001.1,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,Reyranella aquatilis
MJ020-2-barcode52-umi82100bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776538,
MJ032-1-barcode26-umi42145bins-ubs-8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
RS-GCF-014697105.1-NZ-JACJRF010000105.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,,
MJ030-2-barcode58-umi55135bins-ubs-11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Hydrogenophaga_590395,
MJ030-2-barcode59-umi110313bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501396,Rhizobiaceae_A_499470,Aquamicrobium_A_498489,
G000829235,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae_A_24131,Rippkaea,Rippkaea sp000829235
MJ030-2-barcode58-umi90251bins-ubs-5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter_776538,
MJ030-2-barcode59-umi64995bins-ubs-10,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,
KX456191,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus hibiscisoli
MG209703,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501582,Pleomorphomonadaceae,Mongoliimonas_497342,Mongoliimonas rhizosphaerae
MJ030-2-barcode59-umi106076bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parablastomonas,
HM037996,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504721,Hyphomicrobiaceae,,
AJ227759,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter_487784,Caulobacter fusiformis
MJ030-2-barcode58-umi51634bins-ubs-13,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter hydrossis
RS-GCF-017813355.1-NZ-JAGIYZ010000050.1,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas_B,
MJ030-2-barcode58-umi101110bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
G001679665,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,TH1-2,Terricaulis_486960,Terricaulis sp001679665
MJ030-2-barcode58-umi56637bins-ubs-11,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,,,
MJ020-1-barcode34-umi1783bins-ubs-137,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Blastocatellaceae_430966,,
AB033327,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter_484321,Porphyrobacter neustonensis
MH091546,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Szabonella,Szabonella alba
MK693145,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_493931,Tabrizicola sediminis
MJ031-1-barcode30-umi34495bins-ubs-5,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Planktothrix,Planktothrix agardhii
GB-GCA-016712445.1-JADJRB010000001.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,
MJ030-2-barcode58-umi111364bins-ubs-3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Ideonella_A_591966,
GB-GCA-004299445.1-SCTC01000039.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium kunshanense
JN104393,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter_C,Gemmobacter_C lanyuensis
MJ031-1-barcode27-umi39688bins-ubs-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504723,Aestuariivirgaceae,Aestuariivirga,Aestuariivirga litoralis
MJ033-1-barcode37-umi14284bins-ubs-19,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae_28012,,
MJ030-2-barcode59-umi16014bins-ubs-36,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,
MJ030-2-barcode58-umi53282bins-ubs-13,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Acidovorax_A,Acidovorax_A delafieldii_B_589608
MJ030-2-barcode59-umi24098bins-ubs-26,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus_B_483718,
G007753455,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Botrimarina,Botrimarina mediterranea
MJ031-1-barcode30-umi16295bins-ubs-28,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
MJ034-1-barcode40-umi23686bins-ubs-7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,VFJQ01,VFJQ01 sp009885995
KJ647399,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Plastoroseomonas,Plastoroseomonas arctica
JN399172,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium_485350,Novosphingobium fuchskuhlense
MJ030-1-barcode42-umi4456bins-ubs-68,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,Lacihabitans soyangensis
RS-GCF-006443685.1-NZ-VFYP01000012.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_500472,Rhizobiaceae_A_500472,Allorhizobium,Allorhizobium wuzhouense
MJ030-2-barcode58-umi100027bins-ubs-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_500472,Rhizobiaceae_A_500472,Allorhizobium,Allorhizobium ipomoeae
MJ030-2-barcode59-umi68809bins-ubs-8,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,,
KY363638,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales_616009,Xanthomonadaceae_616009,Silanimonas_613110,Silanimonas algicola
MJ030-2-barcode58-umi82375bins-ubs-6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Beijerinckiaceae,Rhabdaerophilum,Rhabdaerophilum calidifontis
MJ010-1-barcode44-umi26041bins-ubs-26,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae_23353,SIO2C1,SIO2C1 sp010672925
HQ392507,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola_494022,Tabrizicola aquatica
